  instance    color  t cross    date
0 DSJC125.1.col 5 0.013 0 201804071724
0 DSJC125.1.col 5 0.011 0 201804071724
0 DSJC125.1.col 5 0.012 0 201804071724
0 DSJC125.1.col 5 0.011 0 201804071724
0 DSJC125.1.col 5 0.011 0 201804071724
0 DSJC125.1.col 5 0.011 0 201804071724
0 DSJC125.1.col 5 0.011 0 201804071724
0 DSJC125.1.col 5 0.011 0 201804071724
0 DSJC125.1.col 5 0.011 0 201804071724
0 DSJC125.1.col 5 0.011 0 201804071724
1 DSJC250.1.col 8 0.066 0 201804071946
1 DSJC250.1.col 8 0.066 0 201804071946
1 DSJC250.1.col 8 0.070 0 201804071946
1 DSJC250.1.col 8 0.077 0 201804071946
1 DSJC250.1.col 8 0.034 0 201804071946
1 DSJC250.1.col 8 0.031 0 201804071946
1 DSJC250.1.col 8 0.029 0 201804071946
1 DSJC250.1.col 8 0.032 0 201804071946
1 DSJC250.1.col 8 0.033 0 201804071946
1 DSJC250.1.col 8 0.030 0 201804071946
2 DSJC250.5.col 28 0.269 0 201804072003
2 DSJC250.5.col 28 14.975 13 201804072003
2 DSJC250.5.col 28 1.352 0 201804072004
2 DSJC250.5.col 28 51.510 67 201804072004
2 DSJC250.5.col 28 17.888 16 201804072004
2 DSJC250.5.col 28 1.739 0 201804072005
2 DSJC250.5.col 28 17.300 17 201804072005
2 DSJC250.5.col 28 59.535 86 201804072005
2 DSJC250.5.col 28 7.858 1 201804072006
2 DSJC250.5.col 28 8.983 3 201804072006
2 DSJC250.5.col 28 24.771 29 201804072007
2 DSJC250.5.col 28 70.626 107 201804072008
2 DSJC250.5.col 28 12.311 10 201804072009
2 DSJC250.5.col 28 25.864 33 201804072009
2 DSJC250.5.col 28 44.606 64 201804072010
2 DSJC250.5.col 28 13.978 12 201804072010
2 DSJC250.5.col 28 16.053 16 201804072011
2 DSJC250.5.col 28 13.575 11 201804072011
2 DSJC250.5.col 28 6.802 0 201804072011
2 DSJC250.5.col 28 24.381 29 201804072011
3 DSJC250.9.col 72 9.795 1 201804072013
3 DSJC250.9.col 72 0.515 0 201804072013
3 DSJC250.9.col 72 1.396 0 201804072013
3 DSJC250.9.col 72 3.416 0 201804072013
3 DSJC250.9.col 72 5.307 0 201804072013
3 DSJC250.9.col 72 2.485 0 201804072014
3 DSJC250.9.col 72 1.420 0 201804072014
3 DSJC250.9.col 72 0.387 0 201804072014
3 DSJC250.9.col 72 0.387 0 201804072014
3 DSJC250.9.col 72 0.389 0 201804072014
4 DSJC500.1.col 12 176.519 364 201804072015
4 DSJC500.1.col 12 292.277 590 201804072018
4 DSJC500.1.col 12 321.736 686 201804072023
4 DSJC500.1.col 12 199.404 394 201804072029
4 DSJC500.1.col 12 174.919 371 201804072032
4 DSJC500.1.col 12 486.293 1031 201804072035
4 DSJC500.1.col 12 83.155 164 201804072043
4 DSJC500.1.col 12 92.215 182 201804072044
4 DSJC500.1.col 12 128.303 266 201804072046
4 DSJC500.1.col 12 190.522 406 201804072048
5 DSJC500.5.col 50 23.458 7 201804072053
5 DSJC500.5.col 50 59.927 41 201804072053
5 DSJC500.5.col 50 45.198 28 201804072054
5 DSJC500.5.col 50 37.410 19 201804072055
5 DSJC500.5.col 50 47.977 30 201804072055
5 DSJC500.5.col 50 49.848 32 201804072056
5 DSJC500.5.col 50 66.850 47 201804072057
5 DSJC500.5.col 50 36.553 18 201804072058
5 DSJC500.5.col 50 51.032 30 201804072059
5 DSJC500.5.col 50 37.612 16 201804072100
6 DSJC500.5.col 49 142.641 84 201804072103
6 DSJC500.5.col 49 176.442 117 201804072106
6 DSJC500.5.col 49 134.440 81 201804072109
6 DSJC500.5.col 49 208.812 141 201804072111
6 DSJC500.5.col 49 213.311 143 201804072114
6 DSJC500.5.col 49 283.442 187 201804072118
6 DSJC500.5.col 49 193.929 130 201804072123
6 DSJC500.5.col 49 263.170 185 201804072126
6 DSJC500.5.col 49 254.813 160 201804072130
6 DSJC500.5.col 49 226.399 155 201804072135

